step_sizes,OptParams_1,OptParams_2,OptParams_3,OptParams_4
0.000316227766016838,0.913823952971772,6.09662707248594,50.4936087650409,5.00830644928276
0.00105250028527773,0.884244579529695,6.14486329813891,48.7766704966142,5.12256759375382
0.00350303474126533,0.816892304225228,6.10261127551817,48.8970579660205,5.14735690186422
0.0116591440117983,0.742623968879108,5.98313162887212,52.8635087549108,5.35587670466794
0.0388051073221018,1.41879815740704,5.74671404825976,61.0605991401579,5.03125936191844
0.129154966501488,1.36419748952973,5.77817378980117,62.5513557099816,4.65836899169328
0.429866234708228,1.25316764224152,4.49630906721356,69.3013614839488,5.79475973261985
1.43072298919376,0.327282665131567,2.59237632840755,74.1394839190189,5.49102902334046
4.76187266300854,0.1,0.152299428194015,60.7526838584662,5.5033601147241
15.8489319246111,0.1,0.603078723854734,57.8866865481173,5.26729736576623
