step_sizes,OptParams_1,OptParams_2
0.000316227766016838,3.12589146596751,49.8048434593718
0.00105250028527773,2.99070427182343,49.8805700739326
0.00350303474126533,2.50930665742925,49.3678829443298
0.0116591440117983,3.90240154565391,51.9245625754367
0.0388051073221018,1.37705923544953,55.8876385303301
0.129154966501488,0.1,57.0475126861083
0.429866234708228,0.55218924399578,57.3614505397342
1.43072298919376,0.1,59.9276167543772
4.76187266300854,0.1,59.1679357170061
15.8489319246111,0.1,57.0137947450458
